iter	Logloss
0	0.6416224724
1	0.5985398565
2	0.5581839012
3	0.5238409631
4	0.4932927163
5	0.4664536054
6	0.4421510413
7	0.4226858147
8	0.4034716486
9	0.3887031716
10	0.3737945536
11	0.3607038146
12	0.3508262244
13	0.3408192295
14	0.3319229817
15	0.3235214639
16	0.317018726
17	0.3106272233
18	0.3048634907
19	0.3001528019
20	0.2958158155
21	0.2917216563
22	0.288787534
23	0.2861413952
24	0.2831713173
25	0.2805658325
26	0.2784827884
27	0.2763290089
28	0.2744578461
29	0.2726615578
30	0.2711015926
31	0.2697413033
32	0.2686133729
33	0.2674932494
34	0.2664146362
35	0.2653886521
36	0.2645691176
37	0.2638553168
38	0.2630935368
39	0.2624069641
40	0.2618146229
41	0.2612184446
42	0.2606538583
43	0.2602377185
44	0.2597835755
45	0.2593718053
46	0.2589821242
47	0.2585307025
48	0.2581616588
49	0.2578871935
50	0.2576085635
51	0.25734216
52	0.2570962121
53	0.2568607035
54	0.2566119215
55	0.2564017138
56	0.2562079001
57	0.2560498507
58	0.255880267
59	0.2556618728
60	0.2554777496
61	0.255278437
62	0.2551052829
63	0.2549322892
64	0.2547540399
65	0.2546104056
66	0.2544960122
67	0.2543861163
68	0.2542789288
69	0.2541686163
70	0.2540533159
71	0.2539451234
72	0.2538616842
73	0.2537638411
74	0.2536738223
75	0.2535757424
76	0.2534440248
77	0.2533154337
78	0.2532372155
79	0.2531463567
80	0.2530697482
81	0.2529940409
82	0.2529052176
83	0.2528430367
84	0.2527650226
85	0.2527062068
86	0.2526564458
87	0.2526038648
88	0.2525495897
89	0.2524875291
90	0.2524014404
91	0.2523425796
92	0.2522673506
93	0.2522218845
94	0.2521482201
95	0.2520495278
96	0.2520014004
97	0.2519517502
98	0.25191411
99	0.2518676914
100	0.2518101423
101	0.2517632743
102	0.2517067491
103	0.2516695124
104	0.2516265949
105	0.2515877116
106	0.2515163762
107	0.2514523162
108	0.2514154711
109	0.2513859262
110	0.2513434609
111	0.251298366
112	0.2512378911
113	0.2511921967
114	0.2511596974
115	0.2511194013
116	0.2510820603
117	0.251045911
118	0.2509707807
119	0.2509551545
120	0.2509116209
121	0.2508954988
122	0.2508651414
123	0.2508175826
124	0.2507619147
125	0.2507290388
