iter	Passed	Remaining
0	671	335177
1	785	195566
2	1572	260482
3	1754	217512
4	2557	253178
5	3375	277891
6	4035	284197
7	4667	287030
8	5439	296763
9	5494	269237
10	6310	280529
11	7046	286576
12	7101	266032
13	7908	274549
14	8409	271909
15	9204	278424
16	9935	282271
17	10787	288872
18	11694	296065
19	12517	300429
20	13494	307799
21	14239	309393
22	14639	303602
23	15032	298143
24	15894	301993
25	16868	307523
26	17693	309960
27	18581	313222
28	19574	317923
29	20646	323461
30	21743	328960
31	22709	332120
32	23653	334731
33	24667	338091
34	25745	342049
35	26607	342942
36	27633	345790
37	28762	349685
38	29693	350992
39	30645	352421
40	31602	353793
41	32510	354519
42	33554	356612
43	34548	358052
44	35486	358812
45	36531	360547
46	37599	362399
47	38568	363186
48	39501	363578
49	40287	362585
50	41216	362870
51	42208	363643
52	43273	364963
53	44344	366255
54	45261	366203
55	46232	366556
56	47449	368773
57	48498	369592
58	49398	369231
59	50285	368760
60	51152	368130
61	51996	367330
62	52889	366866
63	53684	365728
64	54516	364838
65	55414	364390
66	56368	364293
67	57330	364216
68	58550	365727
69	59503	365524
70	60359	364709
71	61191	363751
72	61995	362628
73	62955	362417
74	63820	361647
75	64716	361047
76	65505	359854
77	66309	358752
78	67165	357930
79	67936	356664
80	68833	356065
81	69647	355031
82	70560	354500
83	71646	354818
84	72528	354111
85	73239	352569
86	74100	351763
87	75071	351470
88	75896	350488
89	76773	349744
90	77836	349834
91	78640	348755
92	79650	348577
93	80572	348003
94	81571	347750
95	82566	347465
96	83733	347882
97	84690	347403
98	85618	346799
99	86736	346946
100	87837	347002
101	89099	347660
102	90207	347694
103	91573	348682
104	93087	350186
105	94471	351147
106	95400	350394
107	96245	349335
108	97268	348918
109	98511	349269
110	99617	349109
111	100464	348039
112	101566	347842
113	102564	347279
114	103518	346560
115	104540	346064
116	105774	346252
117	106765	345630
118	107598	344495
119	109234	345908
120	110606	346444
121	112154	347494
122	113475	347807
123	115069	348920
124	116265	348796
125	117593	349046
126	118780	348858
127	119837	348278
128	120964	347890
129	122371	348287
130	123417	347642
131	124417	346860
132	125337	345854
